apellido,frec_pri,frec_seg
MONSALVO,27,28
MOZQUEDA,27,28
MURGA,27,34
NOVAS,27,15
OROSCO,27,30
PAUL,27,11
PEGUEROS,27,14
PEREIDA,27,26
PIMIENTA,27,40
QUI%ONES,27,26
RAMALES,27,28
RESENDIS,27,24
RICALDE,27,31
ROSTRO,27,24
SALDA#A,27,20
SANTIBANEZ,27,35
SANVICENTE,27,23
SILVANO,27,23
TIENDA,27,22
TURIJAN,27,19
UITZIL,27,21
UREÑA,27,38
VALDESPINO,27,29
VILLAFANA,27,25
VILLANO,27,16
XOTLANIHUA,27,22
YERVES,27,10
ZAMACONA,27,15
ARIZAGA,26,25
ARMENGOL,26,19
ARRONIZ,26,27
BARQUERA,26,19
BAYONA,26,33
BETANZO,26,9
BIELMA,26,25
CARRASQUEDO,26,21
COUTIÑO,26,23
DE GANTE,26,17
DENA,26,12
EB,26,15
ELIZARRARAZ,26,34
ESTUPIÑAN,26,18
FABILA,26,34
FEDERICO,26,24
FISCAL,26,15
GALAZ,26,31
GORDIANO,26,22
GUMETA,26,26
LARUMBE,26,23
LIBORIO,26,29
LOPE,26,18
MAGA#A,26,21
MEDINILLA,26,13
MERLO,26,21
MIRAMON,26,29
MOJARRO,26,19
MOSCOSO,26,46
NUNCIO,26,14
ORTELA,26,25
PANCARDO,26,0
PAVIA,26,19
PICOS,26,30
PINALES,26,42
PLACIDO,26,31
POLA,26,38
PORFIRIO,26,36
PUCHETA,26,5
RABANALES,26,27
REVUELTA,26,31
RUEDAS,26,35
SARIÑANA,26,23
SENA,26,23
TEPOLE,26,47
TEPOX,26,18
TEXTA,26,36
TIZAPA,26,15
TLASECA,26,26
TUXPAN,26,14
URE%A,26,24
VALLIN,26,19
WILSON,26,25
ALTAMIRA,25,16
ANELL,25,40
ARRAZATE,25,19
ATRIANO,25,36
AVELLANEDA,25,24
BARCO,25,22
BARTOLON,25,35
BASTIAN,25,23
BRAULIO,25,16
BRICE#O,25,24
BUITRON,25,39
BURGOIN,25,22
CAAMAÑO,25,16
CARIÑO,25,40
CASTAN,25,22
CEBADA,25,25
CRIOLLO,25,24
DAMAS,25,47
DE LA PARRA,25,21
DEAQUINO,25,44
DEL RAZO,25,29
DONATO,25,24
FERREL,25,20
FLORIANO,25,18
FRANQUEZ,25,27
FUERTES,25,13
GALLAGA,25,29
GAMEROS,25,26
GRANIEL,25,19
HERREJON,25,13
LANDETA,25,16
LAVALLE,25,36
MAGA!A,25,16
MEDEROS,25,16
MEMBRILLO,25,25
MOLINAR,25,29
MORANCHEL,25,13
MULATO,25,24
MUT,25,16
MUZQUIZ,25,21
NICASIO,25,23
NURICUMBO,25,26
OBANDO,25,24
ORDOÃ¿EZ,25,22
ORIGEL,25,15
PRIOR,25,41
PRUNEDA,25,14
PUON,25,19
QUESADA,25,25
QUI!ONES,25,31
RITO,25,36
SAPIEN,25,17
SEVERO,25,25
SICAIROS,25,31
TIERRABLANCA,25,21
TORRUCO,25,25
VIQUEZ,25,34
VISOSO,25,21
ZAVALZA,25,26
ZENON,25,29
ANGOA,24,26
ANTUNA,24,29
ARCADIA,24,17
ARCEGA,24,29
ARELLANOS,24,31
BANDERA,24,37
BEJAR,24,27
BONOLA,24,9
BORJON,24,16
CABADA,24,27
CAMPAÑA,24,18
CAZARIN,24,21
CEBRERO,24,40
CHIO,24,27
CITALAN,24,35
COLCHADO,24,20
COMPARAN,24,21
CONTLA,24,12
DE LA ROCHA,24,20
DE LA SERNA,24,15
ESPERON,24,6
FERRA,24,36
FERREIRO,24,12
FERRUSCA,24,30
GARDU!O,24,45
GAVIA,24,11
GODINES,24,23
GUDIÃ¿O,24,24
GUITRON,24,33
HERNADEZ,24,25
HESIQUIO,24,12
IC,24,29
INIESTA,24,18
IX,24,27
KURI,24,17
LAZOS,24,32
MACUIL,24,25
MARGARITO,24,36
MATURANO,24,19
MAVIL,24,12
MENEZ,24,23
MERLOS,24,23
MESTA,24,20
MEXIA,24,15
MICHACA,24,27
MONJE,24,17
NARRO,24,9
NIEVA,24,13
NIGENDA,24,26
NORIA,24,39
NUÐEZ,24,22
ORDU!A,24,26
PESCADOR,24,20
PEÑUÑURI,24,22
PONCE DE LEON,24,14
QUEBRADO,24,16
QUIRARTE,24,28
RAZURA,24,16
TENIENTE,24,27
TLAPA,24,31
TORAYA,24,12
UNZUETA,24,27
URANGA,24,13
VERDEJO,24,36
VINALAY,24,38
ZANABRIA,24,19
ZEQUERA,24,24
ZOZAYA,24,20
ABASCAL,23,19
ACATITLA,23,22
AMATECO,23,35
ANACLETO,23,28
AVI%A,23,28
BAIZABAL,23,26
BALLINA,23,39
BAROJAS,23,26
BASALDUA,23,36
BATUN,23,26
BENHUMEA,23,16
BLANQUETO,23,30
BORRAYO,23,14
BUENTELLO,23,22
CALLEROS,23,37
CANDELA,23,15
CARLON,23,27
CARMEN,23,52
CARPINTERO,23,19
CARVALLO,23,30
CASAREZ,23,35
CHAGOLLA,23,22
COLCHERO,23,14
COTERO,23,22
COVA,23,16
ERAZO,23,30
EVIA,23,25
GAMAS,23,21
HIJAR,23,11
IBA!EZ,23,23
ILDEFONSO,23,13
INTERIANO,23,22
ITURRIAGA,23,20
LAVADORES,23,20
LEDON,23,18
LEONIDES,23,18
MATU,23,23
MECOTT,23,12
MEDECIGO,23,21
MEZQUITIC,23,16
NANGO,23,22
NICIO,23,13
NIÏ¿½O,23,24
NOGALES,23,48
NOGUERON,23,18
NOVA,23,28
OLAZARAN,23,22
ORELLANA,23,16
PALOMAR,23,27
PECERO,23,16
PINELO,23,15
PORTES,23,23
QUINTAS,23,18
RIVEROS,23,29
RODELO,23,29
RUPERTO,23,18
SANTIESTEBAN,23,31
SILGUERO,23,16
SIXTO,23,41
SOJO,23,12
TICANTE,23,22
TIERRAFRIA,23,15
TRIGO,23,19
URQUIZO,23,14
US,23,22
VIOLANTE,23,28
VIZCAYA,23,24
WENCES,23,36
ALVITER,22,12
ANTILLON,22,40
APAEZ,22,20
AROCHE,22,27
AVENDA!O,22,27
BACELIS,22,21
BERRA,22,25
BIBIAN,22,12
BLANQUET,22,20
CARACHURE,22,17
CARAPIA,22,20
CASTAÃ¿ON,22,23
CASTAÏ¿½ON,22,9
CASTILLERO,22,26
CATZIM,22,18
CELIO,22,16
CHONA,22,31
COLLINS,22,19
CORTE,22,31
COTE,22,22
CUMPLIDO,22,11
DE COSS,22,18
DE LA RIVA,22,29
DONDIEGO,22,44
DORAME,22,28
EROSA,22,24
GERVASIO,22,10
GUEMES,22,17
LAGARDA,22,26
LAZALDE,22,14
LIZARDI,22,41
MACHAIN,22,19
MALVAEZ,22,42
MARINA,22,25
MAULEON,22,19
MESTIZA,22,14
MONTECILLO,22,12
MOYEDA,22,19
NERY,22,13
OCEJO,22,24
ORTUÑO,22,26
PARRAL,22,27
PASTENES,22,7
PEDRERO,22,26
PETO,22,10
PICON,22,41
QUILANTAN,22,17
ROSSANO,22,16
SAGUILAN,22,30
SANDEZ,22,34
SOLANA,22,30
TISCAREÑO,22,33
TLATENCHI,22,14
TOLOSA,22,18
TOTO,22,22
TOXQUI,22,19
UREIRO,22,16
VANOYE,22,22
VILLAZANA,22,21
XOCUA,22,33
YERENA,22,36
AGRAZ,21,19
AGUNDIS,21,15
ALVISO,21,19
ANDREW,21,17
BALEON,21,9
BARREDO,21,26
BORUNDA,21,18
BRAGA,21,20
CAMPOSECO,21,23
CANDANEDO,21,20
CARNALLA,21,27
CARRADA,21,20
CASTAÃ¿EDA,21,21
CASTAÑOS,21,15
CEDENO,21,26
CIH,21,19
CIRIACO,21,43
DE LA TOBA,21,14
DERAS,21,26
ELENES,21,27
ERIVES,21,21
ESPANA,21,24
GARCÍA,21,16
GAUCIN,21,19
GAZGA,21,29
HUICAB,21,24
LAINES,21,20
LEANDRO,21,23
LEVARIO,21,15
LÓPEZ,21,23
MADRAZO,21,13
MALERVA,21,24
MELECIO,21,12
MELENDRES,21,20
MINJARES,21,25
MIRAFUENTES,21,28
MONJARDIN,21,15
MU%IZ,21,14
OCADIZ,21,23
ORDO%EZ,21,20
ORDU!O,21,13
OVILLA,21,28
PADUA,21,10
PEQUEÑO,21,29
PICASSO,21,20
PRESTEGUI,21,25
QUIAHUA,21,16
RAVELL,21,8
RECENDIZ,21,25
RODELA,21,15
SANTA CRUZ,21,11
SARAO,21,16
SARELLANO,21,8
SARTILLO,21,27
SAYNES,21,21
SERAPIO,21,16
SILERIO,21,13
SOBRINO,21,12
SOLORZA,21,19
SORCIA,21,12
TEHOZOL,21,14
TERCERO,21,29
TEYSSIER,21,9
TRASVIÑA,21,29
TRILLO,21,15
TZOMPANTZI,21,21
VALOIS,21,11
VIANA,21,15
VILLAFRANCO,21,15
XALA,21,17
XALTENO,21,18
XOCHICALE,21,28
ZONGUA,21,7
ZUBIA,21,31
ZUÐIGA,21,16
ALBA!IL,20,10
ALMODOVAR,20,17
AMECA,20,15
ANORVE,20,14
ANRUBIO,20,16
ARECHEGA,20,9
ARRAMBIDE,20,15
BALANDRAN,20,22
BALTIERRA,20,27
BENAVENTE,20,15
BERMAN,20,6
BUTANDA,20,30
CACIQUE,20,24
CANEPA,20,19
CARRE!O,20,8
CELEDONIO,20,12
CHORA,20,32
CIRILO,20,45
COPALCUA,20,5
CRISANTOS,20,26
ESPINOLA,20,31
ESPIRICUETA,20,18
GARRAFA,20,20
GASGA,20,18
IXMATLAHUA,20,9
LAPARRA,20,24
LEGASPI,20,16
MACARENO,20,17
MARFIL,20,34
MARURI,20,16
MATEHUALA,20,22
MESINAS,20,19
MITZI,20,7
MONDACA,20,22
MONTANTES,20,11
MORAL,20,13
NEIRA,20,12
NETZAHUALCOYOTL,20,9
NOVERON,20,10
NOYA,20,10
NUNO,20,12
OLIVARRIA,20,21
ORDUNA,20,31
OTAMENDI,20,13
OÑATE,20,22
PANFILO,20,15
PIZANA,20,17
QUEN,20,20
QUIROS,20,21
RETAMA,20,35
SALMORAN,20,32
SAN MIGUEL,20,11
SANTELIZ,20,35
SIMUTA,20,24
TEZOCO,20,18
TON,20,23
TZEEK,20,17
VENOSA,20,6
VILLAMONTE,20,22
VILLASECA,20,11
WILLIAMS,20,20
YEDRA,20,16
ABAROA,19,13
ALCAIDE,19,13
ALMENDRA,19,14
ALMONTE,19,25
ALVIZAR,19,7
ARCHILA,19,33
ARREORTUA,19,9
ARZALUZ,19,14
ARZAPALO,19,31
BANDERAS,19,23
BAROCIO,19,7
BARREIRO,19,11
BEDOY,19,17
BERMEO,19,10
BOLAÏ¿½OS,19,10
BRETADO,19,11
BURELO,19,12
CALERO,19,6
CANARE,19,23
CANIZAL,19,14
CARDE%A,19,18
CASARES,19,18
CHECA,19,22
CHINCOYA,19,17
CINCO,19,15
COLOHUA,19,17
CONRADO,19,20
CONSTANTE,19,13
CORCHADO,19,26
CUREÑO,19,11
DE LOS ANGELES,19,23
DEANDA,19,20
DEL MONTE,19,6
DEMESA,19,21
DONLUCAS,19,9
EQUIHUA,19,5
ESCRIBANO,19,17
GARDUÐO,19,15
GRADILLA,19,33
GUAPO,19,11
IMPERIAL,19,15
IRETA,19,18
ISAIS,19,19
JACQUEZ,19,19
JAVALERA,19,24
JUSAINO,19,8
LAM,19,24
LANZ,19,15
LARREA,19,25
LEGUIZAMO,19,16
LEO,19,10
LOME,19,25
MICELI,19,27
MOGOLLAN,19,12
MONCIVAIS,19,9
MONFIL,19,29
MONTUY,19,23
MORATO,19,11
MOTOLINIA,19,12
MUELA,19,22
NAMBO,19,38
NOPAL,19,15
NORZAGARAY,19,20
ORIZAGA,19,8
ORTU!O,19,17
OSTOA,19,19
OVALLES,19,22
OXTE,19,11
PLACENCIA,19,31
POCEROS,19,6
POLVO,19,5
PUERTOS,19,18
RIO,19,14
RIVEROLL,19,10
ROMULO,19,6
SANCHES,19,25
SANCHO,19,6
SANDRIA,19,23
SANTOSCOY,19,12
SEDEÑO,19,12
SELVAS,19,27
SERRALTA,19,13
SESEÑA,19,12
SOLIZ,19,22
SONORA,19,24
SOSTENES,19,7
SULVARAN,19,11
TLACHI,19,11
TORRONTEGUI,19,12
TRASVI!A,19,26
TRIANO,19,6
URAGA,19,14
URIZA,19,10
VALADES,19,21
VARO,19,16
VILLADA,19,26
VIQUE,19,20
VIVALDO,19,13
XIX,19,22
YEH,19,22
ZAPOTE,19,7
ZAPOTECO,19,22
ZECUA,19,11
ZENTELLA,19,10
ABNAL,18,11
ACO,18,17
AGREDA,18,22
AHUATZI,18,24
ALAMEDA,18,24
ALFEREZ,18,43
ALMORA,18,27
AMEZOLA,18,13
ARCILA,18,15
AZUETA,18,16
BAQUEIRO,18,17
BOGARIN,18,16
BURGOA,18,27
CANDIDO,18,35
CANTUA,18,16
CATAÑO,18,20
CERA,18,33
CHARCO,18,10
COLADO,18,13
COLONIA,18,7
CUANDO,18,15
CUATIANQUIZ,18,12
DEGANTE,18,27
DEMETRIO,18,20
DEOLARTE,18,23
EPITACIO,18,15
ESCARENO,18,14
ESPERANZA,18,15
ESPIN,18,23
FLORENCIA,18,24
GASPARILLO,18,0
GAUNA,18,29
GUADIANA,18,20
JACOB,18,31
JONAPA,18,17
KUYOC,18,13
LOBO,18,20
LUGOS,18,13
LUQUIN,18,29
MATILDES,18,30
MAYNEZ,18,13
MEIXUEIRO,18,15
MELQUIADES,18,43
MERCHANT,18,20
MORUA,18,17
NUNGARAY,18,29
OCOMATL,18,13
OJENDIZ,18,13
OLIMON,18,8
ORZUNA,18,14
PALESTINO,18,26
PENSADO,18,18
PERFECTO,18,20
PEÐA,18,25
PI#A,18,11
RABELO,18,10
RAFAELA,18,9
RIAÑO,18,20
ROSETTE,18,11
SAN GERMAN,18,7
SANTA ANA,18,10
SAUCILLO,18,11
SIARUQUI,18,22
SIU,18,7
SOUZA,18,21
SUASNAVAR,18,7
TAJONAR,18,23
TALANGO,18,13
TELIZ,18,27
TEPEXPA,18,16
TERRIQUEZ,18,25
TEYER,18,0
TISCARENO,18,23
TLALMIS,18,10
TUMALAN,18,16
URDIALES,18,6
URENA,18,22
VALDENEGRO,18,15
VALLARTA,18,26
VARILLAS,18,13
VERGEL,18,6
VILA,18,16
XELHUANTZI,18,21
YAMA,18,23
ZABALA,18,18
ZUBIATE,18,18
ZUVIRI,18,11
AGRAMON,17,18
AHUACTZIN,17,19
ALAFFITA,17,6
ALAMO,17,21
ALBAÑIL,17,13
ALMARAL,17,12
ALMEJO,17,8
ALMERAYA,17,22
AMILPA,17,5
ANASTASIO,17,20
ARBALLO,17,25
ARVAYO,17,20
ARVIZO,17,10
AYIL,17,25
BALDENEGRO,17,16
BALDERRABANO,17,12
BARRENECHEA,17,0
BERTRAND,17,0
BRIBIESCA,17,20
BURROLA,17,23
CANTELLANO,17,5
CANTON,17,43
CAPORAL,17,20
CARAVANTES,17,15
CARRALES,17,17
CARREOLA,17,9
CASTELAZO,17,20
CERECERO,17,20
CESAREO,17,15
CINTA,17,9
CITUK,17,26
COCOTLE,17,15
COYOTZI,17,16
DEL PINO,17,10
DIEGUEZ,17,20
DOZAL,17,21
DUEÑEZ,17,17
EPIFANIO,17,15
ESPARRAGOZA,17,17
FOSADO,17,10
FRAGOZO,17,22
FUANTOS,17,14
GALLEGO,17,11
GENOVEZ,17,14
GUATEMALA,17,36
GUDI%O,17,31
GUIJOSA,17,5
HENESTROSA,17,5
JACINTOS,17,16
JARERO,17,16
LAFARGA,17,13
LARRAGOITI,17,5
LAUREAN,17,21
LAURRABAQUIO,17,9
LEANA,17,36
LIZAOLA,17,27
MANSILLA,17,23
MANTILLA,17,24
MARRERO,17,22
MARRUJO,17,8
MARTHA,17,45
MAYOR,17,19
MAYTORENA,17,11
MEGCHUN,17,21
MENCIAS,17,14
MENDIZABAL,17,31
MOGICA,17,48
MOLOTLA,17,30
MOYADO,17,11
NETRO,17,18
OLIVIER,17,26
OROCIO,17,15
ORPINEL,17,11
PACHICANO,17,16
PANDO,17,50
PATOLZIN,17,9
PETRIZ,17,17
PICENO,17,25
PLANTILLAS,17,21
PONS,17,11
PRESUEL,17,7
PROA,17,18
RAVELO,17,25
RAYGADAS,17,9
RECILLAS,17,27
ROSANO,17,19
SCHULTZ,17,11
SELVERA,17,10
SILES,17,23
SOMERA,17,12
SUBIAS,17,15
TALAMANTE,17,15
TILAN,17,10
TINO,17,6
TOACHE,17,7
TORIJA,17,17
TORRECILLAS,17,17
TZOMPA,17,22
UCH,17,7
UCO,17,19
UUH,17,8
VIEDMA,17,8
VIRUEL,17,11
XEQUEB,17,5
XOLOCOTZI,17,14
ZAPOTITLA,17,17
ZERMENO,17,16
ACACIO,16,16
ACOPA,16,19
AGAMA,16,5
ALIAS,16,12
ALMENDARIZ,16,17
AMAVIZCA,16,19
ANCHEVIDA,16,11
ANDERICA,16,0
ANGON,16,24
ANTOLIN,16,13
APALE,16,9
AQUI,16,13
ARANGURE,16,28
ARGOTE,16,8
ARRAS,16,7
ARRONA,16,18
ARROYOS,16,8
ASTELLO,16,12
BELLIDO,16,0
BELMONTES,16,25
BERDEJO,16,0
BERRUECOS,16,24
BLASI,16,5
BOTE,16,8
CALZONCIT,16,14
CAMARERO,16,14
CANAS,16,16
CANEDA,16,9
CARCAÑO,16,19
CARRIZAL,16,17
CASCO,16,17
CASIO,16,12
CERERO,16,13
CHAGALA,16,12
CHARREZ,16,16
CHIQUETE,16,12
CHULIN,16,32
CORAZA,16,11
COSGAYA,16,18
CUARENTA,16,8
CUATE,16,15
CUESTAS,16,5
DADO,16,30
DE LOS RIOS,16,22
DE NOVA,16,9
DON,16,11
ESCARREGA,16,17
FEMAT,16,17
FENTANES,16,14
FERNANDEZ DE LARA,16,10
FERRERA,16,30
FILOMENO,16,11
FLANDES,16,15
FORTUNA,16,20
GALENO,16,17
GOMAR,16,24
GONZÁLEZ,16,16
HERNÁNDEZ,16,13
HINOSTROZA,16,17
IPIÑA,16,14
LANCHE,16,6
LAU,16,18
LEGARIA,16,9
LIGONIO,16,34
LLANO,16,8
LOPERENA,16,16
LUCENA,16,31
LUNAGOMEZ,16,0
MACOTELA,16,13
MELESIO,16,22
MIRALRIO,16,18
MOEDANO,16,25
MOHEDANO,16,13
MOLINERO,16,5
MORTEO,16,6
MOSCO,16,13
MOYO,16,15
NAFARRATE,16,11
NARES,16,16
OCA#A,16,8
OCAÑAS,16,12
OCOTITLA,16,9
OLAIS,16,11
OLIVAN,16,22
OREGON,16,28
ORGANIZ,16,15
OSALDE,16,14
PAJARITO,16,7
PAMANES,16,11
PANZO,16,22
PASTELIN,16,19
PEÑAFLOR,16,28
PRIMERO,16,14
PROSPERO,16,19
QUEB,16,21
QUILES,16,8
RABIELA,16,15
RAVIELA,16,9
RIQUELME,16,30
RIVADENEYRA,16,22
ROBERTO,16,21
RODRIGO,16,12
SAIZ,16,8
SANZ,16,15
SAUZ,16,16
SCOTT,16,12
SUNZA,16,19
TEJA,16,9
TEJEIDA,16,5
TELOXA,16,0
TEMPLOS,16,18
TENIZA,16,21
TISNADO,16,14
TORNEZ,16,18
TRANI,16,13
TRETO,16,27
URUETA,16,14
VALLEJOS,16,9
VELIS,16,11
VEYNA,16,19
VILLACIS,16,12
VILLENA,16,6
XOCHITEMOL,16,8
YOVAL,16,13
YUPIT,16,13
ZALAZAR,16,14
ZAMITIZ,16,11
ZEPETA,16,25
ACEITUNO,15,21
ACHOY,15,5
ALCORTA,15,19
ALEGRE,15,19
ANDON,15,10
ANICA,15,32
ANICETO,15,16
ANTON,15,11
ANZA,15,0
ARANZA,15,21
ARCIA,15,11
ARROCENA,15,0
ASUNCION,15,24
BALDAZO,15,16
BARENCA,15,9
BATAZ,15,14
BAXIN,15,27
BERRUM,15,21
BIÑUELO,15,6
BOLON,15,15
BRECEDA,15,19
BROWN,15,7
CAMBRANO,15,20
CAPILLA,15,12
CASELIN,15,7
CASIAN,15,27
CASTOLO,15,9
CATANA,15,7
CHAZARO,15,5
CIMA,15,14
CORELLA,15,25
CORVERA,15,24
COTINO,15,17
COTO,15,18
CRODA,15,5
DE LA PE!A,15,8
DEMEZA,15,28
DIEZ,15,16
DONIS,15,0
DREW,15,8
ELIOSA,15,27
ENSASTIGA,15,7
ESQUERRA,15,13
ESQUIVIAS,15,11
ESTARRON,15,0
EULOGIO,15,25
FARELO,15,0
FUENTE,15,35
GARIN,15,13
GASCON,15,14
GAZCA,15,16
GRANADA,15,20
GRANDA,15,21
GREEN,15,14
GURRION,15,21
GUSMAN,15,12
HERRERO,15,12
ICHIN,15,0
ISAAC,15,16
IXTA,15,15
JALOMO,15,34
KIM,15,11
KING,15,11
LAYNA,15,18
LEIVA,15,14
LINOS,15,10
LOA,15,9
LOO,15,22
LUZANIA,15,9
MAGADAN,15,37
MAYREN,15,8
MILLANES,15,15
MONTECINOS,15,7
MORILLON,15,10
MOTE,15,13
MUGICA,15,10
MURUA,15,10
MUSITO,15,7
NANDAYAPA,15,34
NANGUSE,15,14
NIVON,15,0
NONATO,15,8
OIDOR,15,5
OREGEL,15,20
OY,15,12
OYARVIDE,15,10
PATI%O,15,33
PERES,15,17
PIO,15,14
PLAYAS,15,7
POLINA,15,17
PUERTA,15,18
QUI!ONEZ,15,16
REGIS,15,19
RODRÍGUEZ,15,14
RUBALCABA,15,16
RUSTRIAN,15,13
SALCEDA,15,13
SARRACINO,15,30
SEDAS,15,20
SEDENO,15,7
SEQUERA,15,16
TANORI,15,8
TECLA,15,7
TEHUINTLE,15,18
TERREROS,15,15
TEXCUCANO,15,13
TLAXCALTECO,15,10
URQUIDI,15,14
VALDIN,15,10
VALE,15,11
VELO,15,10
VILORIA,15,9
VITERVO,15,8
YANES,15,16
YUCA,15,21
ZACAPALA,15,14
ZAGOYA,15,14
ZAMBADA,15,13
ZAMILPA,15,7
ABUNDES,14,17
ACUÏ¿½A,14,13
ALCIBAR,14,9
ALTUNAR,14,21
AMAYO,14,18
ANDUAGA,14,12
ANSELMO,14,30
APANCO,14,17
APANGO,14,6
AQUIAHUATL,14,10
AVINA,14,27
AZTATZI,14,0
BAAK,14,6
BALANZARIO,14,15
BALLARDO,14,7
BALLATO,14,7
BALLESTER,14,9
BALSECA,14,5
BARBERENA,14,11
BARRANCOS,14,7
BARRITA,14,23
BERMEA,14,17
BERNES,14,7
BOJORGES,14,37
BRIGIDO,14,11
BUENRROSTRO,14,7
BUZO,14,11
CA!EDO,14,9
CAAMA!O,14,7
CABILDO,14,0
CALDIÑO,14,6
CANACASCO,14,9
CANDANOSA,14,11
CANEDO,14,21
CANTORAL,14,26
CARDEÑA,14,21
CARVENTE,14,5
CAÑA,14,5
CEFERINO,14,13
CELSO,14,11
CHAMA,14,13
CHIGO,14,7
CHOPIN,14,13
CIENEGA,14,14
CIPRIAN,14,10
CLARO,14,7
COCTECON,14,8
COLINA,14,7
CONZUELO,14,10
COQUIS,14,14
CORRES,14,11
CRUZALTA,14,29
CUBILLAS,14,10
CUMPEAN,14,7
DE LA PENA,14,29
DE LA PUENTE,14,7
DEL PILAR,14,15
DEL RIVERO,14,11
DENOVA,14,7
DESILOS,14,7
ECHEVESTE,14,5
ELEUTERIO,14,15
ESPA%A,14,9
FALCONI,14,17
FAUDOA,14,8
FIALLO,14,7
FLOREZ,14,15
FORTIS,14,7
FRUTOS,14,16
GALA,14,23
GALEOTE,14,10
GALNAREZ,14,0
GARDUÃ¿O,14,12
GARNELO,14,15
GONZALEZ RUBIO,14,0
GOYTORTUA,14,12
HILERIO,14,31
JAHUEY,14,11
JARDINEZ,14,6
LEZA,14,12
LICEAGA,14,10
LICERIO,14,6
MACAL,14,19
MAGNO,14,15
MATAMBU,14,7
MAZAHUA,14,7
MEYER,14,13
MIALMA,14,7
MIRABAL,14,0
MORLAN,14,7
MORONI,14,6
MU#IZ,14,19
MURCIA,14,14
MUÑOS,14,13
NANGUELU,14,30
NORIS,14,0
OLAYO,14,31
OLTEHUA,14,11
ORGANES,14,16
OSIO,14,20
PACO,14,25
PAGOLA,14,9
PAIZ,14,10
PAN,14,12
PANUCO,14,23
PAULO,14,6
PAXTIAN,14,7
PAYRO,14,27
PEÑAFIEL,14,10
PILAR,14,16
PIÑEIRO,14,16
PRIMO,14,20
PRUDENCIANO,14,6
PUEBLAS,14,5
QUINTOS,14,11
RAMÍREZ,14,8
RAUDALES,14,10
RAYOS,14,12
REQUENES,14,13
ROJERO,14,20
RONDIN,14,8
ROSALDO,14,11
SAGREDO,14,11
SAGUNDO,14,0
SALOMA,14,10
SALUD,14,0
SANTILLANES,14,11
SARAVIA,14,6
SEIS,14,0
SIAS,14,25
SIDA,14,7
SILICEO,14,5
SILIS,14,9
SULU,14,22
TABACO,14,11
TAMARIT,14,11
TAVIZON,14,8
TELUMBRE,14,13
TEMORES,14,8
TEPETLA,14,7
TEPOXTECO,14,13
TOME,14,16
TORRALVA,14,16
TORRESCANO,14,16
TRIVERA,14,5
TRONCO,14,13
TUFINO,14,0
TUK,14,12
URBALEJO,14,25
URETA,14,5
URIETA,14,30
UZCANGA,14,19
VIDAURRI,14,11
VILLORDO,14,10
YLLESCAS,14,8
YOPIHUA,14,0
ZEMPOALTECATL,14,13
ABITIA,13,9
ABREO,13,10
ACA,13,19
ACATECATL,13,7
ACU!A,13,17
ALQUISIRA,13,10
ALVARES,13,23
AMPUDIA,13,12
ANCIRA,13,5
ANDREU,13,17
ARA,13,26
ARAOZ,13,15
AYVAR,13,18
BADILLA,13,21
BALDOVINOS,13,12
BALMACEDA,13,22
BALMES,13,8
BALTAZARES,13,11
BALTIERREZ,13,9
BANTE,13,12
BARUCH,13,14
BEAR,13,12
BERLIN,13,0
BERRIEL,13,10
BEZARES,13,16
BLANQUEL,13,27
BOTIS,13,9
BUENAVISTA,13,5
BULNES,13,6
CADEZA,13,5
CALIX,13,11
CAMPIRANO,13,0
CAMPO,13,24
CANCELA,13,13
CANDELERO,13,17
CARACHEO,13,18
CARDON,13,21
CARREÐO,13,6
CETZAL,13,9
CHEPILLO,13,8
CHOLICO,13,0
CHUMACERO,13,14
CLAVIJO,13,9
CONSTANCIO,13,6
COSMES,13,7
COUTINO,13,9
CRISTIANI,13,8
CUVAS,13,12
CUXIM,13,0
DE LEIJA,13,13
DE VELASCO,13,6
DEL MURO,13,14
DEL VAL,13,5
DENIZ,13,17
DIOS,13,0
DOTOR,13,14
ECHAZARRETA,13,11
EDUARDO,13,13
ELGUEZABAL,13,8
ELISEA,13,6
EMIGDIO,13,12
ENRIQUE,13,11
ESPA#A,13,8
ESPIRIDION,13,20
ESTANISLAO,13,14
ESTILLADO,13,8
EUSTAQUIO,13,20
FLOREAN,13,13
FRAUSTRO,13,9
FUNES,13,33
GAMINO,13,13
GAMIZ,13,18
GARDU%O,13,9
GUADERRAMA,13,10
GUIA,13,11
GUIRAO,13,14
GUTU,13,0
HERRERIAS,13,7
HINOJOZA,13,20
HUACASH,13,9
ILHUICATZI,13,16
IRENE,13,14
IRUEGAS,13,18
ISAIAS,13,15
IUIT,13,18
JUSACAMEA,13,8
KUH,13,0
LACHICA,13,0
LAVENANT,13,0
LOCENA,13,16
LUCANO,13,0
MA,13,32
MACES,13,12
MAPULA,13,8
MARILES,13,15
MARTA,13,16
MARTIÑON,13,6
MAZARI,13,6
MELKEN,13,13
MONTA#O,13,16
MONTANTE,13,9
MORAILA,13,14
MORIEL,13,14
MOSHAN,13,10
MURIEL,13,0
NANDE,13,0
NATERAS,13,8
NAZAR,13,6
NOCEDA,13,11
NOHPAL,13,20
NOPALA,13,5
OCTAVIANO,13,17
ORAMAS,13,16
ORDUNO,13,19
PACAB,13,31
PADIERNA,13,10
PASARAN,13,8
PENCA,13,16
PESQUEIRA,13,0
PEZA,13,23
PONTAZA,13,8
PORTUGUEZ,13,13
PRESAS,13,14
QUI#ONES,13,13
